Players,Team,Type,Base,Sold
Vasu Vats,-,BOWL,0.30,TBA
Umang Kumar,-,AR,0.30,Unsold
Mohamed Ali,-,AR,0.30,TBA
Atharva Ankolekar,-,AR,0.30,TBA
Vaisakh Chandran,-,AR,0.30,TBA
Auqib Nabi,-,AR,0.30,TBA
Rohit Rayudu,-,AR,0.30,TBA
Uday Saharan,-,AR,0.30,TBA
Ayush Vartak,-,AR,0.30,TBA
Baba Aparajith,-,AR,0.30,TBA
Sumit Beniwal,-,AR,0.30,TBA
Nishunk Birla,-,AR,0.30,TBA
Digvijay Deshmukh,-,AR,0.30,Unsold
Lakshay Jain,-,AR,0.30,TBA
Duan Jansen,-,AR,0.30,TBA
Kritagya Singh,-,AR,0.30,TBA
P Vignesh,-,AR,0.30,TBA
Sabhay Chadha,-,AR,0.30,TBA
Benny Howell,-,AR,0.30,TBA
Hemanth Kumar,-,AR,0.30,TBA
Rohan Rana,-,AR,0.30,TBA
Bharat Sharma,-,AR,0.30,TBA
Pratham Singh,-,AR,0.30,TBA
Tripurana Vijay,DC,AR,0.30,0.30
Ravi Kumar Yadav,-,AR,0.30,TBA
Arjun Azad,-,AR,0.30,TBA
Abhay Choudhary,-,AR,0.30,TBA
Gaurav Gambhir,-,AR,0.30,TBA
Shubham Garhwal,-,AR,0.30,TBA
Tejasvi Jaiswal,-,AR,0.30,TBA
Sairaj Patil,-,AR,0.30,TBA
Madhav Tiwari,DC,AR,0.30,0.40
Kamal Tripathi,-,AR,0.30,TBA
Prashant Chauhan,-,AR,0.30,TBA
Yash Dabas,-,AR,0.30,Unsold
Dhruv Kaushik,-,AR,0.30,TBA
Khrievitso Kense,-,AR,0.30,Unsold
Akash Parkar,-,AR,0.30,TBA
Vignesh Puthur,MI,AR,0.30,0.30
Tripuresh Singh,-,AR,0.30,TBA
Vijay Yadav,-,AR,0.30,TBA
Jofra Archer,RR,BOWL,2.00,12.50
Saurabh Netravalkar,-,BOWL,0.30,TBA
Hardik Tamore,-,WK,0.30,TBA
Daryl Mitchell,-,AR,2.00,Unsold
